campaign_external_source,campaign_external_id,category_code,is_primary
giftpop.vn,MP1909180003,GIFTPOP_VN_A101,true
giftpop.vn,MP1909180002,GIFTPOP_VN_A101,true
giftpop.vn,MP2502270004,GIFTPOP_VN_A103,true
giftpop.vn,MP2502270002,GIFTPOP_VN_A103,true
giftpop.vn,MP2205300001,GIFTPOP_VN_A107,true
giftpop.vn,MP2205300004,GIFTPOP_VN_A107,true
giftpop.vn,1PEMP2402560701,GIFTPOP_VN_A106,true
giftpop.vn,1PEMP2425564001,GIFTPOP_VN_A106,true
giftpop.vn,1PEMP2425559301,GIFTPOP_VN_A106,true
giftpop.vn,1PEMP2425141501,GIFTPOP_VN_A106,true
giftpop.vn,MP2106220021,GIFTPOP_VN_A108,true
giftpop.vn,MP2106220019,GIFTPOP_VN_A108,true
giftpop.vn,MP2106220017,GIFTPOP_VN_A108,true
giftpop.vn,MP2106150005,GIFTPOP_VN_A117,true
giftpop.vn,MP2106150004,GIFTPOP_VN_A117,true
giftpop.vn,MP2106150003,GIFTPOP_VN_A117,true
giftpop.vn,MP2008260022,GIFTPOP_VN_A117,true
giftpop.vn,MP2008260022,GIFTPOP_VN_A119,false
giftpop.vn,MP2008260020,GIFTPOP_VN_A117,true
giftpop.vn,MP2008260020,GIFTPOP_VN_A119,false
giftpop.vn,MP2306010012,GIFTPOP_VN_A110,true
giftpop.vn,MP2306010010,GIFTPOP_VN_A110,true
giftpop.vn,MP2306010006,GIFTPOP_VN_A110,true
giftpop.vn,MP2508130002,GIFTPOP_VN_A112,true
giftpop.vn,MP2508130001,GIFTPOP_VN_A112,true
giftpop.vn,MP2305150004,GIFTPOP_VN_A112,true
giftpop.vn,MP2305150002,GIFTPOP_VN_A112,true
giftpop.vn,MP2108040002,GIFTPOP_VN_A112,true
giftpop.vn,CB2512050001,GIFTPOP_VN_A115,true
giftpop.vn,MP2205270001,GIFTPOP_VN_A115,true
giftpop.vn,MP2405220001,GIFTPOP_VN_A115,true
giftpop.vn,CB2311170002,GIFTPOP_VN_A116,true
giftpop.vn,MP2308310001,GIFTPOP_VN_A116,true
giftpop.vn,MP2312130005,GIFTPOP_VN_A116,true
giftpop.vn,MP2109220004,GIFTPOP_VN_A120,true
giftpop.vn,MP1901220001,GIFTPOP_VN_A120,true
giftpop.vn,MP2106090013,GIFTPOP_VN_A120,true
